"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"TCGA.CZ.5459.01",0.00337503611303869,0,0.00768688429229694,0.108085149803535,0,0.0573432734099251,0,0.0157470787962525,0.00545626111503295,0.010892236596202,0,0.0161143108496684,0,0,0.0454034492502554,0.104648919256373,0,0,0.0152140436792935,0,0,6.52184921455031e-05,9999,0.195679722419427,1.02548053649059,0.390031861654019
"TCGA.D5.5538.01",0.00285277663184844,0,0.0246028821315952,0.0259911254178689,0,0.0404791972896355,0,0.0174952496845783,0.0154327846369425,0,0,0.00457362051783606,0.000667438934938159,0.0986945517848304,0.0279785166286806,0.188361557508483,0.000510787591391244,0,0,0.0248741168916965,0,0.0114970522204465,9999,0.339166930802819,0.955802185679832,0.484011657870771
"TCGA.56.8305.01",0.00957506839401465,0,0.0564034263840229,0.00392426866030028,0,0.0332536695458956,0,0,0,0,0.00793628936368143,0,0,0.108145339457224,0.00788545052111465,0.100482678678537,0,0,0.00228123605967846,0,0,0,9999,0.366179046883172,0.944250973028845,0.329887427064469
"TCGA.CZ.5468.11",0.0163198249120126,0,0.00145801595302701,0.0140938104421319,0,0.0481232583347599,0,0,0.00200393247972118,0,0,0.0268919607921,0.0266429326089821,0,0.0040794454853256,0.0474666940342976,0,0,0.00371151467832893,0,0,0,9999,0.00497928930858171,1.10127287510175,0.190791389720687
"TCGA.BH.A0BQ.11",0.00756313136836148,0,0.0561887364795928,0.149572560972721,0,0.0184109587878679,0,0.0806061795594584,0,0,0,0,0.037412095222435,0,0.0130406581368943,0.123569192250105,0.00278927422328383,0,0.0196615719067519,0,0.00903595807399536,0,9999,0.155058757509986,1.02199269704936,0.517850316981467
"TCGA.4X.A9FA.01",0,0.0217516560950588,0.0198211542547978,0.185816552506832,0,0.0116891687939892,0,0.0360945404906889,0.0504926016361992,0,0,0.0253302922228676,0.0181993590032335,0,0.0151012172569498,0.0314203699948318,0.0161864253521234,0,0.0126457054925079,0,0,0,9999,0.281736284343968,0.98926079322851,0.44454904310008
"TCGA.DD.AAW0.01",0.00444779401942084,0,0,0.0363393224434175,0,0.0423777696292638,0,0,0.0169494145289692,0,0,0.00201797371908573,0.020545526260325,0.0742337036029231,0.0173812249649383,0.0488224427163894,0,0,0.00682038285662434,0,0,0.00073395125096011,9999,0.142439850175032,1.0473405502341,0.270669505992317
"TCGA.AA.3511.01",0.0142777732335234,0,0.0247849348229566,0.0153300854515518,0,0.0508655780511175,0,0.0067291002170919,0.0163291580380598,0,0.0110168337201147,0,0.00784128067444921,0.0310683595947231,0.00997457530019963,0.0636715965064369,0,0.000560268886156379,0.00247140454741274,0.0138777375795451,0,0,9999,0.0322162471114129,1.06621166962745,0.268798686623339
"TCGA.Z7.A8R5.01",0.0238570503483336,0,0.0285050948303365,0.0870454714861694,0,0,0,0.039975183647644,0.00624608081485979,0,0,0.0295633506382075,0.0155676908574807,0.0295138269951388,0.00385256955320489,0.178340840116798,0,0,0.021807046764353,0,0,0,9999,0.241031528711489,0.990258144115614,0.464274206052526
"TCGA.CZ.4863.11",0.0114513296145345,0,0.000565551017150157,0,0,0.0352984980805471,0,0,0.00179051710693896,0,0,0.0114137861096152,0.00607755833403733,0,0,0.0299051426349071,0,0,0.0162764798780314,0,0,0,9999,0.0163818500113356,1.08227015967833,0.112778862775762
"TCGA.39.5031.01",0.0259593758830424,0,0.13827832656684,0.0712313300257168,0,0.072728337133844,0,0.0390812859460287,0.000392541433079584,0,0,0.00349695600154467,3.24024866567609e-05,0.0573649832164637,0.0503770621700301,0.165963028242771,0.00040340215702239,0,0.00477519295491891,0.00647307846160048,0,0.00160614369736801,9999,0.459324822700174,0.890077483480084,0.638163446376927
"TCGA.ZG.A8QW.01",0.0101327245211086,0,0.0126164434489871,0.0383082958330066,0,0.0608012455765321,0,0.0484782068717628,0,0,0,0.0304748687992729,0.00428983324579786,0.0171587873823086,0.0236083811442957,0.100599436051989,0.00173331459024244,0,0.00895094783736376,0,0,0,9999,0.134668434309423,1.03913844964462,0.357152485302668
"TCGA.DU.7302.01",0,0.000843824010444247,0.000226619068256828,0.0150230455369434,0,0.00964021094124056,0,0.00189498820162371,0,0,0.000832781318780797,0,0.0103349113130711,0.00667866739797002,0.0028842794405589,0.0329677476716973,0.00101889909208546,0,0.0444434734865193,0,0.00131313423122918,0.00723822934709199,9999,-0.0232487085232502,1.11645294788724,0.135340811057513
