"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"GTEX.13O61.0326.SM.5KM2O",0.0108775555153921,0,0.00544007017445573,0.0108897490995548,0,0.0500626346618459,0,0,0,0,0.00228086831011776,0,0.0340318004281892,0,0.0044247073715544,0.154357884637236,0,0,0.0229647853035731,0,0,0.000273318633466647,9999,0.15314612965263,1.04267255166474,0.295603374135386
"GTEX.REY6.0126.SM.48FDT",0.110944661793924,0,0.00322157229214117,0,0,0.0499104917958725,0,0.0173691089505982,0.0495021682781964,0,0.0688931097189034,0,0.0173150272917134,0.00197763769568243,0.00175144502039718,0,0,0,0,0,0,0,9999,-0.0320343342977722,1.14935834303835,0.320885222837429
"GTEX.13PL7.2726.SM.5L3GB",0.0100785784797677,0,0,0.0397214584121508,0,0.0295905942452253,0,0,0,0,0.00416332017459234,0.0123438637794851,0.0072781788212238,0,0,0.0768846657169047,0,0.00103753162836733,0.00900754940278529,0,0,0,9999,-0.0210372926903926,1.11561427028391,0.190105740660502
"GTEX.QV44.0526.SM.2S1RE",0.0160490025463119,0,0.0100773895943419,0.00319746924426139,0.00177038195255945,0,0,0.0103172488174054,0,0,0.00478375013585598,0.00425117169302974,0.00626235691400641,0,0,0.0237457655285585,0,0.00341235381266584,0.00481059085107488,0,0,0.0113200463369958,9999,-0.0344422998139332,1.08691812076432,0.0999975274270673
"GTEX.WY7C.0426.SM.3NB3C",0.00534022006007476,0,0.144982402588055,0.107656404536539,0,0.136288283839173,0,0.0282360280781028,0,0,0.0588469768226224,0,0.178970835659201,0,0.00785914929910995,0.260430934696618,0,0.00235932032651716,0,0.0184636101537198,0,0.0263613148111705,9999,0.220958656340198,0.992317682777012,0.975795480870904
"GTEX.ZPCL.0004.SM.4WWD6",0.00109348912729993,0.100750167203096,0.0414245544308362,0,0,0,0,0.00740776255113721,0.001642880781544,0.000258858719248123,0,0.00639559806922994,0,0,0,0.000479855412847767,0,0.0252964492154939,0,0,0.0020574218607253,0,9999,0.473304134081604,0.88133088391298,0.186807037371458
"GTEX.X5EB.0326.SM.4QASF",0.0279266560695043,0,0.0192215072480074,0.0259160841760379,0,0.130089961507198,0,0,0,0,0.0234388811015733,0,0.0810652969701107,0,0.0118535167259074,0.272378455165876,0.00309643938878669,0,0.0793226712380102,0,0.00920947509675941,0,9999,0.392299495337288,0.920139099726369,0.683518944687771
"GTEX.11DXY.1526.SM.5H129",0.00925052356753111,0,0.00116583271559857,0.00584625198893086,0,0.0359193919027464,0,0.00527598986197566,0.00720665388525979,0,0.0101901335253004,0.00136685673686978,0.00861582499422668,0,0.00202805011051717,0.0354169587040301,0,0,0.0711191448191408,0,0,0,9999,0.247662580184125,0.995012093235816,0.193401612812127
"GTEX.ZPIC.0005.SM.4WWEB",0.00416314680404156,0,0,0,0.0117550334295775,0,0,0,0.00146181612866345,0.00359662642943937,0.0100617798634307,0,0.0493938366223884,0.00737020405264709,0,0.00632628089330636,0,0,0.00363963181699198,0,0,0.135202401496211,9999,0.586022086846284,0.866707041593026,0.232970757536698
"GTEX.13G51.2126.SM.5IJD9",0.00841819488060557,0,0,0.00296888311113253,0,0.017534968401361,0,0,0.000483519344203438,0,0.00740224809517879,0.00221894935740072,0.0090322567873193,0,0.00080320857183487,0.0639288395707269,0,5.93238334557192e-06,0.0124795480800032,0,0,0,9999,0.0727568175679233,1.07504239274892,0.125276548583112
