"","mRNAProportions.Bcells","mRNAProportions.CAFs","mRNAProportions.CD4_Tcells","mRNAProportions.CD8_Tcells","mRNAProportions.Endothelial","mRNAProportions.Macrophages","mRNAProportions.NKcells","mRNAProportions.otherCells","cellFractions.Bcells","cellFractions.CAFs","cellFractions.CD4_Tcells","cellFractions.CD8_Tcells","cellFractions.Endothelial","cellFractions.Macrophages","cellFractions.NKcells","cellFractions.otherCells","fit.gof.convergeCode","fit.gof.convergeMessage","fit.gof.RMSE_weighted","fit.gof.Root_mean_squared_geneExpr_weighted","fit.gof.spearmanR","fit.gof.spearmanP","fit.gof.pearsonR","fit.gof.pearsonP","fit.gof.regline_a_x","fit.gof.regline_b","fit.gof.regline_a_x_through0","fit.gof.sum_mRNAProportions"
"GTEX.11EI6.0826.SM.5985V",6.88023156145245e-08,0.0313486312145004,0.213045406827878,0.030278919918766,0.287742177506041,0.0275979277936883,0.00261869925982644,0.407368168676984,6.97205791090292e-08,0.0318940907997189,0.219384971727973,0.0311799258629349,0.292748830833849,0.00791155985595697,0.0024242621253799,0.414456289073608,0,"",260.722844763909,286.733589680458,0.643089607305836,2.10983557355079e-12,0.357006265626509,0.000383207683262475,0.140805544658251,37.0187527175928,0.20617416199684,0.592631831323016
"GTEX.11EI6.3126.SM.5H111",0.00404980192380429,0.0191426685360889,0.0754705459958618,0.0385254562928922,0.0690956153751483,0.0303613834169482,4.09163107982618e-08,0.763354487542946,0.00411782759107503,0.0195420702020472,0.0779809707156611,0.0398069530217556,0.0705372588868261,0.00873340592901186,3.80072866306035e-08,0.779281475646337,1,"",187.535136726498,197.529172455173,0.530473550913546,3.21713885189674e-08,0.248746589134382,0.0150687658400537,0.0733257856081964,20.0568684358683,0.123609970209544,0.236645512457054
"GTEX.QV44.1726.SM.4R1KG",0.00378687071091441,0.00532784862413152,0.0565320322144374,0.0250545945381183,0.0390225174398883,0.00508522579395529,6.79477910498973e-09,0.865190903883776,0.00378190592822036,0.0053421469941243,0.0573722140379746,0.0254269571456958,0.0391272423357643,0.00143670696985848,6.19928506146276e-09,0.867512820389077,0,"",88.2652543152211,90.7394981097382,0.158239343226909,0.125627198134964,0.0618123884997457,0.551799081258192,0.0186588823273192,9.00094570104769,0.0967874516582869,0.134809096116224
"GTEX.14E7W.0526.SM.5S2W8",0.00255577557140364,0.0582562952072325,0.0599178077352327,0.0272305345972357,0.0539594225813441,0.00902661853205766,9.92151321703222e-09,0.789053535853981,0.00255950383063222,0.0585746421788125,0.0609769576896335,0.0277118809709951,0.0542542888907424,0.00255732469228817,9.07709759197053e-09,0.793365392669799,0,"",214.454114985296,265.197490930969,0.597992623536598,1.56704047885768e-10,0.572431724281406,1.35587818219571e-09,0.330356275942271,13.9430735838564,0.355120652690909,0.210946464146019
"GTEX.S341.0326.SM.2XCAU",0.00347543924612505,0.018761899167989,0.12375086225316,0.00267891582802721,0.252853388943667,0.0413146192384662,1.5658503825029e-10,0.55716487516598,0.00356186537290874,0.0193053780143556,0.12888215859807,0.0027899963550344,0.260177832321844,0.0119784125750589,1.46606789232308e-10,0.573304356616122,0,"",129.405365460406,158.111801550548,0.591847590309807,2.6783760501482e-10,0.519725451544861,6.768740529875e-08,0.327687725749852,19.7463621065126,0.416352469558678,0.44283512483402
"GTEX.N7MS.2625.SM.3LK77",0.0130650634370344,0.010827935417966,0.0458269261787803,0.0317373022348758,0.0274702825510765,0.0129415001065746,7.96670799506368e-09,0.858130982106984,0.0131233122673572,0.0109197151547801,0.0467766845453201,0.0323950545836016,0.02770312613625,0.00367742880771265,7.31049626794653e-09,0.865404671194482,0,"",55.0703552955119,64.6502500903232,0.472200933481847,1.35818468263027e-06,0.347521645335391,0.000559366057318584,0.137695726652155,10.6003008538659,0.203348143872622,0.141869017893016
"GTEX.OHPJ.0926.SM.2HMJ1",0.0029168742492215,0.00927546388139324,0.0356198218392129,0.0210648035635471,0.105868643835283,0.00440785086051952,3.34585138551604e-10,0.820846541436238,0.00291250244520372,0.00929860808608234,0.0361424095918785,0.0213738508239266,0.10613280804253,0.00124509703069232,3.05204729584898e-10,0.822894723674481,0,"",47.1689640732256,60.3116037038323,0.473371927199987,1.26815424479363e-06,0.475232619654097,1.1366162551924e-06,0.330914443924315,7.99157820710598,0.42356311750532,0.179153458563762
"GTEX.13O61.0326.SM.5KM2O",0.00113299218927509,0.0429845337069732,0.110373798027881,0.0277628730270898,0.0511574760028586,0.0428115290376171,1.24940520735439e-08,0.723776785514253,0.00116227165829516,0.0442717474741213,0.11505976620688,0.0289415580219619,0.0526894364947959,0.0124242214740154,1.17090069547242e-08,0.745450986960924,0,"",318.352238451841,341.250209673455,0.551976343455567,6.70470942844941e-09,0.364421200724974,0.000282762481343872,0.173677029225556,25.6711916924863,0.22396341915318,0.276223214485747
"GTEX.REY6.0126.SM.48FDT",0.00249467372942021,0.00390659900376914,0.0657920573932353,0.0177461935145856,0.0334851411051414,0.00140904507070466,1.88503554404718e-09,0.875166288298108,0.00248475298762236,0.00390662761438833,0.0665916388989569,0.0179618658722139,0.0334853863390699,0.000397028850402246,1.7152405363189e-09,0.875172697722106,0,"",50.7032505663739,53.6599289202675,0.0553203104890385,0.594403486274,0.145130920942171,0.160534372723475,0.0625934057725607,6.80540516758487,0.170452759233635,0.124833711701892
"GTEX.13PL7.2726.SM.5L3GB",1.07803042465999e-06,0.0192347242329802,0.161008314038546,0.0445099871184657,0.0486071383668357,0.00135059287088665,1.10930489075243e-09,0.725288164232556,1.07209931730278e-06,0.019205414229464,0.162715555136954,0.0449819458477527,0.0485330704790309,0.000379976001208962,1.00783851175654e-09,0.724182965198433,0,"",149.734777493824,161.018875088539,0.492572947534825,3.96884722190871e-07,0.275342742341815,0.00692158320385453,0.119561344238905,16.0347736047251,0.181729870662349,0.274711835767444
"GTEX.QV44.0526.SM.2S1RE",0.00387349052114165,0.00315903327642118,0.0491721226806064,0.0250221574849351,0.105568885575129,0.00219614118552637,9.68650585877709e-11,0.811008169179375,0.00386072845540045,0.00316121964766665,0.0498038003784177,0.0253435985367486,0.10564194994503,0.000619233907534667,8.82002720901959e-11,0.811569469041002,0,"",45.2280907161413,54.2202608523226,0.337947918826262,0.000809805537343721,0.415155307841543,2.87316723378053e-05,0.29297096102102,7.55752801112212,0.39426543033693,0.188991830820625
"GTEX.WY7C.0426.SM.3NB3C",0.00485992338932529,0.0398063626850683,0.0851236497039657,0.0215223966504732,0.321556189587768,0.0779159984286261,2.68374584536304e-07,0.449215211180189,0.005120584051552,0.0421091315284145,0.0911416906028006,0.0230439792392595,0.34015797897069,0.02322439608566,2.58325620681684e-07,0.475201981196002,0,"",212.048536151737,260.164552796942,0.695269057314252,5.38686969780463e-15,0.49741316253632,2.92793470257153e-07,0.293930202194804,35.6726282432074,0.37473890884343,0.550784788819811
"GTEX.ZPCL.0004.SM.4WWD6",0.230550356754673,0.00012692954833888,6.74518380731558e-08,8.84504366783654e-06,2.59379406932533e-05,0.000578990817048658,7.89583932201705e-07,0.768708082859809,0.229938645551431,0.00012709914168721,6.83623096666892e-08,8.96443494364422e-06,2.59725969436577e-05,0.000163359937828916,7.19416662947605e-07,0.769735170558193,1,"",74.4440222845599,133.364624158525,0.532404367640671,2.80698842302724e-08,0.815965231930053,7.39499874734861e-24,0.635880499289638,3.91426179422932,0.646471186470978,0.231291917140192
"GTEX.X5EB.0326.SM.4QASF",0.00538486265014631,0.323522353890732,0.0649478933274969,0.0296761751826048,0.158015349125561,0.0972032003453256,1.16391284842912e-08,0.321250153839005,0.00575897254637041,0.347382858420689,0.0705849667980414,0.0322518827422873,0.169669338125921,0.0294088915133617,1.13717384041523e-08,0.34494307848159,0,"",282.048077849123,910.707198145518,0.809560470324748,0,0.917621670472021,4.86176257200323e-39,0.899028844169671,25.8680951760889,0.910707218025656,0.678749846160995
"GTEX.11DXY.1526.SM.5H129",0.003307356640221,0.0317842945473808,0.0503986231858744,0.0272805691171262,0.093948159414379,0.00654335469807922,3.60620978581429e-09,0.78673763879073,0.00330664379155612,0.0319045537187587,0.0512037566783016,0.02771638459184,0.0943036220088628,0.00185069376119824,3.29377093189642e-09,0.789714342155712,0,"",233.200033836397,249.565110848625,0.552057964250775,6.66349967214409e-09,0.323205269157169,0.00139969108348808,0.127849776402941,18.3709270747857,0.168892708699312,0.21326236120927
"GTEX.ZPIC.0005.SM.4WWEB",0.00280523164086545,6.5449682488735e-06,0.0161013410469463,0.0295218366317382,0.00434247906794752,0.0377339633804378,0.00207728167668775,0.907411321587128,0.00287083845375666,6.7248295786983e-06,0.0167447567624519,0.030701540457902,0.00446181410979923,0.0109244646361107,0.0019420993223563,0.932347761428044,0,"",45.1029116801728,56.0279003634078,0.626378093331332,1.12922447544735e-11,0.462287865003126,2.40298318445605e-06,0.29301769295271,6.69677793871232,0.334836911824482,0.0925886784128718
"GTEX.13G51.2126.SM.5IJD9",0.00153054993321361,0.0383676786574718,0.0493483954049162,0.0215427822093424,0.0315849887799122,0.0090863372098523,2.22576883354405e-08,0.848539245547603,0.00153314684233952,0.0385865088368104,0.0502326458884063,0.0219287971025933,0.0317651338655928,0.0025748552165461,2.03681848342704e-08,0.853378891879527,0,"",234.119618963937,255.877041103126,0.519272437351189,6.9803824740963e-08,0.344738993525769,0.000623626967765138,0.136681479712201,17.0766719156475,0.164805558892901,0.151460754452397
"GTEX.Y5V6.2826.SM.4VDSF",0.0024655601283373,0.0215300293774151,0.0639515535969722,0.0233389219644476,0.0584588267107062,0.0179118966944992,2.53221044519593e-09,0.812343208995412,0.00248509732535347,0.0217874367276146,0.0655021675072413,0.0239048137217742,0.0591577450175786,0.0051073673161575,2.33165139682906e-09,0.822055370052629,0,"",188.629827071153,198.70324102723,0.546778102383118,9.89554449990885e-09,0.259961178546628,0.0109545038193229,0.0975401134662351,16.4353831792111,0.151568475108136,0.187656791004588
"GTEX.Y111.1826.SM.4SOIR",0.00159852123886609,0.0359926874706274,0.0517842578294477,0.0217562944630943,0.0685314893539047,0.0032372149462191,8.78961467545892e-09,0.817099525908226,0.00159444580939689,0.0360445278200812,0.052488707301144,0.0220522571896641,0.0686301954135619,0.000913462246901495,8.00934884206107e-09,0.818276396209902,0,"",189.029995105787,212.774176214458,0.591319991976436,2.80305074473894e-10,0.410266226794211,3.6409726116615e-05,0.195193636614679,14.6094810358274,0.230750381390058,0.182900474091774
"GTEX.TMZS.0001.SM.3P61Q",0.260982305706179,0.000137390361261364,7.59914902290576e-08,8.36876591456482e-07,1.43980238730996e-09,0.000111788448573355,9.44559352754475e-05,0.738673145240827,0.260236227160895,0.000137545589394843,7.70013642768591e-08,8.4799809925133e-07,1.4414291232404e-09,3.15341647863369e-05,8.60442717808556e-05,0.73950772237225,1,"",91.8960121702048,155.40527652103,0.609158379041215,5.74441283171394e-11,0.812837384896945,1.49997789170078e-23,0.664404743483647,4.02181254117076,0.674677688522225,0.261326854759173
"GTEX.11XUK.1426.SM.5EQMG",0.34420526441637,0.0122500862650406,0.413789494214936,3.27210059099526e-07,0.0673096332958915,0.0292116302398236,5.58709266186458e-10,0.13323356379917,0.348878681640114,0.012466076395389,0.426199712596123,3.37023619730519e-07,0.0684964181196662,0.00837607258911908,5.1734328782879e-10,0.135582701118626,0,"",124.662631945111,224.477811626806,0.550069988801792,1.34428170171802e-08,0.792096693564156,1.19382382453898e-21,0.646906199843987,16.3679626766184,0.694032199866892,0.86676643620083
